index,Sampling Criterion,Graph,SNR (dB),Sample Size,log MSE
36,WMSE,0,-10.0,37,5.48464
37,WMSE,0,-10.0,38,5.45137
38,WMSE,0,-10.0,39,5.4172926
39,WMSE,0,-10.0,40,5.400466
40,WMSE,0,-10.0,41,5.361382
41,WMSE,0,-10.0,42,5.3440037
42,WMSE,0,-10.0,43,5.3198156
43,WMSE,0,-10.0,44,5.2215524
44,WMSE,0,-10.0,45,5.2197766
45,WMSE,0,-10.0,46,5.168235
46,WMSE,0,-10.0,47,5.1922894
47,WMSE,0,-10.0,48,5.1115103
48,WMSE,0,-10.0,49,5.1289816
49,WMSE,0,-10.0,50,5.0786867
50,WMSE,0,-10.0,51,5.0914516
51,WMSE,0,-10.0,52,5.0846634
52,WMSE,0,-10.0,53,5.0834937
53,WMSE,0,-10.0,54,5.078095
54,WMSE,0,-10.0,55,5.054248
55,WMSE,0,-10.0,56,5.059787
56,WMSE,0,-10.0,57,5.0299807
57,WMSE,0,-10.0,58,4.972366
58,WMSE,0,-10.0,59,4.9805827
59,WMSE,0,-10.0,60,4.9791727
60,WMSE,0,-10.0,61,4.907133
61,WMSE,0,-10.0,62,4.9261312
62,WMSE,0,-10.0,63,4.8888297
63,WMSE,0,-10.0,64,4.8928213
64,WMSE,0,-10.0,65,4.857716
65,WMSE,0,-10.0,66,4.8533607
66,WMSE,0,-10.0,67,4.862392
67,WMSE,0,-10.0,68,4.830529
68,WMSE,0,-10.0,69,4.7853246
69,WMSE,0,-10.0,70,4.7572813
70,WMSE,0,-10.0,71,4.765581
71,WMSE,0,-10.0,72,4.7472324
0,W. Random,0,-10.0,1,0.8425195
1,W. Random,0,-10.0,2,1.731852
2,W. Random,0,-10.0,3,2.1256053
3,W. Random,0,-10.0,4,2.5542858
4,W. Random,0,-10.0,5,3.2736983
5,W. Random,0,-10.0,6,3.350674
6,W. Random,0,-10.0,7,3.4575233
7,W. Random,0,-10.0,8,3.7838488
8,W. Random,0,-10.0,9,4.177676
9,W. Random,0,-10.0,10,4.5666366
10,W. Random,0,-10.0,11,4.7415977
11,W. Random,0,-10.0,12,4.8637896
12,W. Random,0,-10.0,13,4.9375277
13,W. Random,0,-10.0,14,4.8912725
14,W. Random,0,-10.0,15,5.2418036
15,W. Random,0,-10.0,16,5.400426
16,W. Random,0,-10.0,17,5.4412236
17,W. Random,0,-10.0,18,5.474389
18,W. Random,0,-10.0,19,5.5352736
19,W. Random,0,-10.0,20,5.541731
20,W. Random,0,-10.0,21,5.638677
21,W. Random,0,-10.0,22,5.85592
22,W. Random,0,-10.0,23,5.9331207
23,W. Random,0,-10.0,24,6.1994424
24,W. Random,0,-10.0,25,6.7570124
25,W. Random,0,-10.0,26,6.7387652
26,W. Random,0,-10.0,27,6.824215
27,W. Random,0,-10.0,28,7.709509
28,W. Random,0,-10.0,29,7.943608
29,W. Random,0,-10.0,30,8.259529
30,W. Random,0,-10.0,31,8.282833
31,W. Random,0,-10.0,32,8.4009695
32,W. Random,0,-10.0,33,9.585994
33,W. Random,0,-10.0,34,9.626172
34,W. Random,0,-10.0,35,10.338697
35,W. Random,0,-10.0,36,14.191501
36,W. Random,0,-10.0,37,13.100407
37,W. Random,0,-10.0,38,12.195367
38,W. Random,0,-10.0,39,10.452708
39,W. Random,0,-10.0,40,10.182335
40,W. Random,0,-10.0,41,9.628387
41,W. Random,0,-10.0,42,9.330444
42,W. Random,0,-10.0,43,9.245485
43,W. Random,0,-10.0,44,8.884416
44,W. Random,0,-10.0,45,8.71142
45,W. Random,0,-10.0,46,8.409847
46,W. Random,0,-10.0,47,8.306337
47,W. Random,0,-10.0,48,8.374823
48,W. Random,0,-10.0,49,8.20124
49,W. Random,0,-10.0,50,8.203461
50,W. Random,0,-10.0,51,8.244425
51,W. Random,0,-10.0,52,8.18693
52,W. Random,0,-10.0,53,8.176815
53,W. Random,0,-10.0,54,7.9989667
54,W. Random,0,-10.0,55,6.7502832
55,W. Random,0,-10.0,56,6.6477675
56,W. Random,0,-10.0,57,6.6551414
57,W. Random,0,-10.0,58,6.633846
58,W. Random,0,-10.0,59,6.7093325
59,W. Random,0,-10.0,60,6.696249
60,W. Random,0,-10.0,61,6.5018353
61,W. Random,0,-10.0,62,6.3739643
62,W. Random,0,-10.0,63,6.4875355
63,W. Random,0,-10.0,64,6.432691
64,W. Random,0,-10.0,65,6.418769
65,W. Random,0,-10.0,66,6.3771186
66,W. Random,0,-10.0,67,6.3626924
67,W. Random,0,-10.0,68,6.3332486
68,W. Random,0,-10.0,69,6.4159536
69,W. Random,0,-10.0,70,6.307213
70,W. Random,0,-10.0,71,5.7705207
71,W. Random,0,-10.0,72,5.483349
