,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
105,Classification-optimal,45,31.0,682.974,640.03687,36.420795,19,1
106,Classification-optimal,46,31.0,543.268,512.049,31.396482,19,1
107,Classification-optimal,47,27.0,367.95947,384.0521,25.777605,19,1
108,Classification-optimal,48,7.0,249.317,256.01987,19.16902,19,1
109,Classification-optimal,49,7.0,130.33777,127.98312,11.093521,19,1
110,Classification-optimal,50,0.0,7.681305e-05,3.4235036,0.0016822831,19,1
111,Classification-optimal,51,0.0,8.551838e-07,-0.015521288,0.0028323077,19,1
112,Classification-optimal,52,0.0,4.2804723e-07,-0.048519373,0.0011606164,19,1
113,Classification-optimal,53,0.0,5.776986e-07,-0.03772092,0.0007049342,19,1
114,Classification-optimal,54,0.0,2.661663e-07,-0.0141990185,0.0014259431,19,1
115,Classification-optimal,55,0.0,1.1282241e-07,0.0073211193,0.0022478674,19,1
116,Classification-optimal,56,0.0,1.11855265e-07,0.0011308193,0.0016724135,19,1
117,Classification-optimal,57,0.0,1.13748314e-07,0.0012145042,0.0012811103,19,1
118,Classification-optimal,58,0.0,6.146227e-08,0.001087904,0.00010990189,19,1
119,Classification-optimal,59,0.0,4.245506e-08,0.0018339157,0.00037522856,19,1
120,Classification-optimal,60,0.0,4.820483e-08,0.0009481907,0.003641661,19,1
121,Classification-optimal,61,0.0,2.6719588e-08,0.00036025047,0.0025677034,19,1
122,Reconstruction-optimal,1,230.0,6349.5405,6272.0,242.1516,19,1
123,Reconstruction-optimal,2,230.0,6189.5376,6144.0,233.61075,19,1
124,Reconstruction-optimal,3,232.0,6080.5654,6015.9995,227.96658,19,1
125,Reconstruction-optimal,4,237.0,5962.32,5888.0,221.02982,19,1
126,Reconstruction-optimal,5,227.0,5841.119,5760.0,212.17471,19,1
127,Reconstruction-optimal,6,220.0,5681.65,5631.9995,207.3674,19,1
128,Reconstruction-optimal,7,222.0,5582.5015,5504.0,201.25986,19,1
129,Reconstruction-optimal,8,197.0,5453.825,5376.0,195.93022,19,1
130,Reconstruction-optimal,9,187.0,5320.7466,5248.0,192.00214,19,1
131,Reconstruction-optimal,10,185.0,5179.304,5120.0,187.72054,19,1
132,Reconstruction-optimal,11,189.0,5054.8784,4992.0,183.42331,19,1
133,Reconstruction-optimal,12,187.0,4901.326,4864.0,179.08237,19,1
134,Reconstruction-optimal,13,194.0,4755.7495,4735.9995,174.047,19,1
135,Reconstruction-optimal,14,179.0,4606.335,4608.0,170.27498,19,1
136,Reconstruction-optimal,15,181.0,4479.796,4480.0,166.31892,19,1
137,Reconstruction-optimal,16,168.0,4367.3564,4352.0,162.39174,19,1
138,Reconstruction-optimal,17,165.0,4246.9873,4224.0,158.78667,19,1
139,Reconstruction-optimal,18,165.0,4118.921,4096.0005,155.36856,19,1
140,Reconstruction-optimal,19,165.0,3982.0684,3968.0002,151.32793,19,1
141,Reconstruction-optimal,20,157.0,3827.0554,3840.0002,147.67007,19,1
142,Reconstruction-optimal,21,161.0,3679.5454,3712.0002,143.84885,19,1
143,Reconstruction-optimal,22,162.0,3555.035,3583.9998,138.66507,19,1
144,Reconstruction-optimal,23,154.0,3434.0688,3456.0,135.02036,19,1
145,Reconstruction-optimal,24,160.0,3323.4028,3328.0005,131.23488,19,1
146,Reconstruction-optimal,25,160.0,3215.081,3200.0,126.606285,19,1
147,Reconstruction-optimal,26,160.0,3086.0686,3072.0,123.15876,19,1
148,Reconstruction-optimal,27,162.0,2950.6792,2944.0,120.056526,19,1
149,Reconstruction-optimal,28,162.0,2832.0098,2816.0,116.21148,19,1
150,Reconstruction-optimal,29,158.0,2698.1729,2688.0,111.92502,19,1
151,Reconstruction-optimal,30,130.0,2559.0,2560.0002,107.39774,19,1
152,Reconstruction-optimal,31,115.0,2427.791,2432.0,103.95224,19,1
153,Reconstruction-optimal,32,114.0,2330.0125,2304.0,100.40445,19,1
154,Reconstruction-optimal,33,116.0,2224.4067,2176.0,96.43766,19,1
155,Reconstruction-optimal,34,114.0,2098.0686,2048.0,92.062775,19,1
156,Reconstruction-optimal,35,114.0,1975.4895,1920.0,88.8689,19,1
