,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
129,Reconstruction-optimal,8,202.0,5354.193,5376.0,195.41537,7,1
130,Reconstruction-optimal,9,201.0,5217.7095,5248.0,190.5227,7,1
131,Reconstruction-optimal,10,187.0,5113.342,5120.0,185.81583,7,1
132,Reconstruction-optimal,11,178.0,4965.351,4992.0005,182.12483,7,1
133,Reconstruction-optimal,12,176.0,4842.726,4863.9995,179.8104,7,1
134,Reconstruction-optimal,13,203.0,4736.704,4736.0005,176.05849,7,1
135,Reconstruction-optimal,14,199.0,4610.8433,4608.0,172.59842,7,1
136,Reconstruction-optimal,15,222.0,4479.883,4480.0,167.19337,7,1
137,Reconstruction-optimal,16,191.0,4367.6343,4351.9995,163.73206,7,1
138,Reconstruction-optimal,17,209.0,4210.501,4224.0,159.45529,7,1
139,Reconstruction-optimal,18,220.0,4092.9146,4096.0,156.66266,7,1
140,Reconstruction-optimal,19,200.0,3972.03,3968.0,154.0118,7,1
141,Reconstruction-optimal,20,172.0,3859.3098,3840.0002,150.80759,7,1
142,Reconstruction-optimal,21,177.0,3733.243,3712.0,146.81296,7,1
143,Reconstruction-optimal,22,166.0,3593.2349,3584.0002,142.54,7,1
144,Reconstruction-optimal,23,163.0,3452.7217,3456.0,138.16689,7,1
145,Reconstruction-optimal,24,160.0,3324.6033,3328.0,134.26431,7,1
146,Reconstruction-optimal,25,150.0,3199.676,3200.0,130.1138,7,1
147,Reconstruction-optimal,26,149.0,3055.6753,3072.0,127.11816,7,1
148,Reconstruction-optimal,27,140.0,2954.4104,2944.0002,122.64844,7,1
149,Reconstruction-optimal,28,140.0,2829.3164,2815.9998,119.02657,7,1
150,Reconstruction-optimal,29,141.0,2710.6538,2688.0,115.85007,7,1
151,Reconstruction-optimal,30,97.0,2579.0337,2559.9998,112.103806,7,1
152,Reconstruction-optimal,31,98.0,2453.6296,2432.0002,109.26818,7,1
153,Reconstruction-optimal,32,90.0,2315.962,2304.0,104.346725,7,1
154,Reconstruction-optimal,33,69.0,2154.6943,2176.0,100.20562,7,1
155,Reconstruction-optimal,34,71.0,2042.9739,2048.0,95.887596,7,1
156,Reconstruction-optimal,35,71.0,1910.9418,1920.0,91.93426,7,1
157,Reconstruction-optimal,36,74.0,1802.7659,1792.0,87.891045,7,1
158,Reconstruction-optimal,37,58.0,1686.4253,1664.0001,85.56101,7,1
159,Reconstruction-optimal,38,58.0,1558.5624,1536.0001,81.97758,7,1
160,Reconstruction-optimal,39,54.0,1414.7084,1408.0,78.71937,7,1
161,Reconstruction-optimal,40,55.0,1271.6111,1280.0,71.489716,7,1
162,Reconstruction-optimal,41,50.0,1153.2319,1151.9998,65.65444,7,1
163,Reconstruction-optimal,42,46.0,1016.3756,1023.9999,60.9917,7,1
164,Reconstruction-optimal,43,43.0,882.9583,895.9999,56.08479,7,1
165,Reconstruction-optimal,44,40.0,761.6397,767.99976,51.87865,7,1
