,Sampling Type,Sample Size,Signal idx,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error
254,Random,3,64,11.5,116.71191,4.9999995,14.009516
255,Random,3,65,16.5,88.550476,4.9999995,14.009516
256,Random,3,66,19.5,95.86463,4.9999995,14.009516
257,Random,3,67,15.0,63.831192,4.9999995,14.009516
258,Random,3,68,25.5,75.88875,4.9999995,14.009516
259,Random,3,69,15.5,84.496475,4.9999995,14.009516
260,Random,3,70,14.0,157.66347,4.9999995,14.009516
261,Random,3,71,24.0,43.74202,4.9999995,14.009516
262,Random,3,72,14.5,53.079224,4.9999995,14.009516
263,Random,3,73,11.5,37.77733,4.9999995,14.009516
264,Random,3,74,9.5,137.75359,4.9999995,14.009516
265,Random,3,75,14.0,72.54344,4.9999995,14.009516
266,Random,3,76,18.5,143.46332,4.9999995,14.009516
267,Random,3,77,14.0,98.18824,4.9999995,14.009516
268,Random,3,78,17.5,90.577156,4.9999995,14.009516
269,Random,3,79,11.5,91.67574,4.9999995,14.009516
270,Random,3,80,13.5,85.84668,4.9999995,14.009516
271,Random,3,81,14.5,217.66667,4.9999995,14.009516
272,Random,3,82,14.5,276.57043,4.9999995,14.009516
273,Random,3,83,9.5,282.83768,4.9999995,14.009516
274,Random,3,84,10.5,222.48062,4.9999995,14.009516
275,Random,3,85,14.5,189.80957,4.9999995,14.009516
276,Random,3,86,18.5,173.24168,4.9999995,14.009516
277,Random,3,87,15.0,161.818,4.9999995,14.009516
278,Random,3,88,19.5,183.38776,4.9999995,14.009516
279,Random,3,89,10.5,266.57437,4.9999995,14.009516
280,Random,3,90,18.5,96.660355,4.9999995,14.009516
281,Random,3,91,16.5,78.900276,4.9999995,14.009516
282,Random,3,92,18.5,63.24769,4.9999995,14.009516
283,Random,3,93,11.5,59.76159,4.9999995,14.009516
284,Random,3,94,14.5,82.75485,4.9999995,14.009516
285,Random,4,0,17.0,159.87146,4.0,11.684841
286,Random,4,1,15.5,194.78656,4.0,11.684841
287,Random,4,2,19.0,234.50195,4.0,11.684841
288,Random,4,3,17.0,205.76825,4.0,11.684841
289,Random,4,4,16.5,189.66351,4.0,11.684841
290,Random,4,5,18.5,186.43762,4.0,11.684841
291,Random,4,6,16.5,183.41252,4.0,11.684841
292,Random,4,7,19.0,178.58298,4.0,11.684841
293,Random,4,8,15.0,174.7509,4.0,11.684841
294,Random,4,9,16.5,193.7384,4.0,11.684841
295,Random,4,10,17.0,215.8342,4.0,11.684841
296,Random,4,11,18.5,203.98486,4.0,11.684841
297,Random,4,12,18.5,178.87189,4.0,11.684841
298,Random,4,13,14.5,192.03473,4.0,11.684841
299,Random,4,14,22.0,168.54321,4.0,11.684841
300,Random,4,15,22.0,178.0403,4.0,11.684841
301,Random,4,16,23.5,129.3682,4.0,11.684841
302,Random,4,17,14.5,161.48996,4.0,11.684841
303,Random,4,18,14.5,186.99554,4.0,11.684841
304,Random,4,19,15.5,147.26909,4.0,11.684841
305,Random,4,20,14.5,166.60516,4.0,11.684841
306,Random,4,21,19.5,164.99951,4.0,11.684841
307,Random,4,22,15.5,142.20862,4.0,11.684841
308,Random,4,23,18.0,151.5317,4.0,11.684841
309,Random,4,24,17.5,167.62196,4.0,11.684841
310,Random,4,25,19.5,138.4135,4.0,11.684841
311,Random,4,26,16.5,117.20697,4.0,11.684841
312,Random,4,27,17.5,216.84314,4.0,11.684841
313,Random,4,28,14.5,195.03128,4.0,11.684841
314,Random,4,29,13.5,185.39517,4.0,11.684841
315,Random,4,30,15.5,133.91046,4.0,11.684841
316,Random,4,31,8.0,183.09561,4.0,11.684841
317,Random,4,32,17.5,200.6135,4.0,11.684841
318,Random,4,33,17.5,282.21265,4.0,11.684841
319,Random,4,34,18.0,142.25238,4.0,11.684841
320,Random,4,35,17.0,125.16953,4.0,11.684841
321,Random,4,36,18.0,118.92207,4.0,11.684841
322,Random,4,37,23.0,157.66628,4.0,11.684841
323,Random,4,38,16.0,162.27988,4.0,11.684841
324,Random,4,39,16.5,147.25192,4.0,11.684841
325,Random,4,40,16.5,125.90162,4.0,11.684841
326,Random,4,41,15.5,143.99278,4.0,11.684841
327,Random,4,42,15.5,136.21564,4.0,11.684841
328,Random,4,43,14.0,115.63942,4.0,11.684841
329,Random,4,44,18.5,125.610794,4.0,11.684841
330,Random,4,45,16.0,128.86086,4.0,11.684841
331,Random,4,46,16.5,97.87132,4.0,11.684841
332,Random,4,47,16.5,92.34113,4.0,11.684841
333,Random,4,48,18.0,112.84708,4.0,11.684841
334,Random,4,49,17.5,89.40106,4.0,11.684841
335,Random,4,50,18.0,77.63206,4.0,11.684841
336,Random,4,51,16.5,74.66446,4.0,11.684841
337,Random,4,52,16.5,113.08967,4.0,11.684841
338,Random,4,53,15.0,253.83983,4.0,11.684841
339,Random,4,54,17.5,109.65951,4.0,11.684841
340,Random,4,55,19.5,85.88122,4.0,11.684841
341,Random,4,56,18.0,113.799194,4.0,11.684841
342,Random,4,57,13.5,127.374664,4.0,11.684841
343,Random,4,58,13.5,110.9718,4.0,11.684841
344,Random,4,59,18.0,121.19942,4.0,11.684841
345,Random,4,60,16.5,117.16691,4.0,11.684841
346,Random,4,61,14.5,106.33774,4.0,11.684841
347,Random,4,62,15.5,121.92138,4.0,11.684841
348,Random,4,63,16.0,77.0979,4.0,11.684841
349,Random,4,64,9.5,85.32626,4.0,11.684841
350,Random,4,65,16.5,85.3067,4.0,11.684841
351,Random,4,66,20.5,86.65705,4.0,11.684841
352,Random,4,67,20.0,67.17909,4.0,11.684841
353,Random,4,68,17.5,74.93136,4.0,11.684841
354,Random,4,69,15.5,80.995804,4.0,11.684841
355,Random,4,70,16.0,151.40312,4.0,11.684841
356,Random,4,71,17.0,45.083767,4.0,11.684841
357,Random,4,72,16.5,53.91272,4.0,11.684841
358,Random,4,73,10.5,39.264782,4.0,11.684841
359,Random,4,74,10.5,134.062,4.0,11.684841
360,Random,4,75,11.0,75.27039,4.0,11.684841
361,Random,4,76,16.5,141.56519,4.0,11.684841
362,Random,4,77,12.0,103.60154,4.0,11.684841
363,Random,4,78,14.5,95.251236,4.0,11.684841
364,Random,4,79,9.5,97.87901,4.0,11.684841
365,Random,4,80,13.5,89.05335,4.0,11.684841
366,Random,4,81,14.5,202.675,4.0,11.684841
367,Random,4,82,14.5,276.97293,4.0,11.684841
368,Random,4,83,9.5,284.1809,4.0,11.684841
369,Random,4,84,8.5,201.74518,4.0,11.684841
370,Random,4,85,10.5,164.31895,4.0,11.684841
371,Random,4,86,15.5,130.40248,4.0,11.684841
372,Random,4,87,12.0,146.88324,4.0,11.684841
373,Random,4,88,15.5,180.89761,4.0,11.684841
374,Random,4,89,9.5,265.4228,4.0,11.684841
375,Random,4,90,18.5,91.7311,4.0,11.684841
376,Random,4,91,14.5,75.92798,4.0,11.684841
377,Random,4,92,16.5,56.090275,4.0,11.684841
378,Random,4,93,11.5,45.29946,4.0,11.684841
379,Random,4,94,14.5,64.379456,4.0,11.684841
380,Random,5,0,18.0,162.48111,2.9999998,8.804722
381,Random,5,1,15.5,196.4823,2.9999998,8.804722
382,Random,5,2,18.0,220.26064,2.9999998,8.804722
383,Random,5,3,13.0,200.25954,2.9999998,8.804722
384,Random,5,4,15.5,176.09625,2.9999998,8.804722
385,Random,5,5,16.5,180.66232,2.9999998,8.804722
386,Random,5,6,15.5,181.45639,2.9999998,8.804722
387,Random,5,7,16.0,173.54092,2.9999998,8.804722
388,Random,5,8,14.0,175.10893,2.9999998,8.804722
389,Random,5,9,14.5,190.12651,2.9999998,8.804722
390,Random,5,10,14.0,216.9961,2.9999998,8.804722
391,Random,5,11,14.5,194.86894,2.9999998,8.804722
392,Random,5,12,13.5,181.48964,2.9999998,8.804722
393,Random,5,13,13.5,192.983,2.9999998,8.804722
394,Random,5,14,18.0,158.0762,2.9999998,8.804722
395,Random,5,15,20.0,167.92389,2.9999998,8.804722
396,Random,5,16,17.5,126.51956,2.9999998,8.804722
397,Random,5,17,14.5,162.82294,2.9999998,8.804722
398,Random,5,18,15.5,172.67032,2.9999998,8.804722
399,Random,5,19,14.5,148.3811,2.9999998,8.804722
400,Random,5,20,13.5,162.9958,2.9999998,8.804722
401,Random,5,21,15.5,158.35756,2.9999998,8.804722
402,Random,5,22,17.5,143.77713,2.9999998,8.804722
403,Random,5,23,16.0,152.11423,2.9999998,8.804722
404,Random,5,24,12.5,164.1451,2.9999998,8.804722
405,Random,5,25,13.5,125.11041,2.9999998,8.804722
406,Random,5,26,12.5,111.212265,2.9999998,8.804722
407,Random,5,27,15.5,199.66396,2.9999998,8.804722
408,Random,5,28,15.5,172.43758,2.9999998,8.804722
409,Random,5,29,14.5,164.20657,2.9999998,8.804722
410,Random,5,30,12.5,133.03857,2.9999998,8.804722
411,Random,5,31,10.0,185.52803,2.9999998,8.804722
412,Random,5,32,10.5,179.52675,2.9999998,8.804722
413,Random,5,33,13.5,169.46416,2.9999998,8.804722
414,Random,5,34,16.0,129.247,2.9999998,8.804722
415,Random,5,35,14.0,109.83238,2.9999998,8.804722
416,Random,5,36,13.0,115.333755,2.9999998,8.804722
417,Random,5,37,14.0,124.26325,2.9999998,8.804722
418,Random,5,38,14.0,146.22256,2.9999998,8.804722
419,Random,5,39,12.5,146.09348,2.9999998,8.804722
420,Random,5,40,16.5,102.05296,2.9999998,8.804722
421,Random,5,41,14.5,129.69318,2.9999998,8.804722
422,Random,5,42,15.5,107.86423,2.9999998,8.804722
423,Random,5,43,14.0,115.16547,2.9999998,8.804722
424,Random,5,44,11.5,113.44067,2.9999998,8.804722
425,Random,5,45,14.0,126.209984,2.9999998,8.804722
426,Random,5,46,18.5,98.15925,2.9999998,8.804722
427,Random,5,47,15.5,91.934235,2.9999998,8.804722
428,Random,5,48,15.0,107.97191,2.9999998,8.804722
429,Random,5,49,13.5,76.6539,2.9999998,8.804722
430,Random,5,50,15.0,75.94899,2.9999998,8.804722
431,Random,5,51,14.5,73.98633,2.9999998,8.804722
432,Random,5,52,12.5,107.9039,2.9999998,8.804722
433,Random,5,53,14.0,180.69751,2.9999998,8.804722
434,Random,5,54,11.5,91.52872,2.9999998,8.804722
435,Random,5,55,12.5,72.099915,2.9999998,8.804722
436,Random,5,56,12.0,99.00003,2.9999998,8.804722
437,Random,5,57,9.5,107.334045,2.9999998,8.804722
438,Random,5,58,10.5,100.7769,2.9999998,8.804722
439,Random,5,59,15.0,110.97887,2.9999998,8.804722
440,Random,5,60,14.5,112.62878,2.9999998,8.804722
441,Random,5,61,15.5,98.09092,2.9999998,8.804722
442,Random,5,62,15.5,96.97148,2.9999998,8.804722
443,Random,5,63,15.0,72.27397,2.9999998,8.804722
444,Random,5,64,11.5,75.65411,2.9999998,8.804722
445,Random,5,65,10.5,77.613396,2.9999998,8.804722
446,Random,5,66,14.5,83.2605,2.9999998,8.804722
