,Sampling Type,Sample Size,Signal idx,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error
183,Random,2,88,12.5,452.7854,6.0,15.745302
184,Random,2,89,15.0,637.2154,6.0,15.745302
185,Random,2,90,22.5,269.51233,6.0,15.745302
186,Random,2,91,17.5,396.4082,6.0,15.745302
187,Random,2,92,16.0,321.811,6.0,15.745302
188,Random,2,93,23.0,314.50165,6.0,15.745302
189,Random,2,94,23.5,654.3128,6.0,15.745302
190,Random,3,0,24.0,126.17112,5.0,12.485843
191,Random,3,1,14.0,67.93218,5.0,12.485843
192,Random,3,2,22.0,178.20259,5.0,12.485843
193,Random,3,3,20.5,206.94849,5.0,12.485843
194,Random,3,4,24.5,296.48248,5.0,12.485843
195,Random,3,5,17.0,185.47174,5.0,12.485843
196,Random,3,6,18.5,260.15805,5.0,12.485843
197,Random,3,7,22.5,687.4308,5.0,12.485843
198,Random,3,8,18.0,768.28503,5.0,12.485843
199,Random,3,9,17.5,152.49167,5.0,12.485843
200,Random,3,10,16.0,252.72833,5.0,12.485843
201,Random,3,11,18.5,210.4205,5.0,12.485843
202,Random,3,12,19.5,343.79965,5.0,12.485843
203,Random,3,13,23.5,520.9496,5.0,12.485843
204,Random,3,14,21.5,295.01508,5.0,12.485843
205,Random,3,15,13.5,112.507576,5.0,12.485843
206,Random,3,16,23.5,158.13202,5.0,12.485843
207,Random,3,17,17.5,141.17014,5.0,12.485843
208,Random,3,18,16.5,173.95848,5.0,12.485843
209,Random,3,19,22.5,134.96703,5.0,12.485843
210,Random,3,20,19.5,229.52795,5.0,12.485843
211,Random,3,21,24.5,95.692345,5.0,12.485843
212,Random,3,22,12.5,62.766357,5.0,12.485843
213,Random,3,23,22.0,178.88837,5.0,12.485843
214,Random,3,24,23.5,640.12006,5.0,12.485843
215,Random,3,25,20.5,494.6041,5.0,12.485843
216,Random,3,26,23.5,673.08014,5.0,12.485843
217,Random,3,27,19.0,753.6411,5.0,12.485843
218,Random,3,28,19.5,1100.4175,5.0,12.485843
219,Random,3,29,19.5,844.7528,5.0,12.485843
220,Random,3,30,20.0,665.4176,5.0,12.485843
221,Random,3,31,18.5,226.12814,5.0,12.485843
222,Random,3,32,17.5,173.06714,5.0,12.485843
223,Random,3,33,16.5,1092.0159,5.0,12.485843
224,Random,3,34,24.5,652.20874,5.0,12.485843
225,Random,3,35,22.0,773.4059,5.0,12.485843
226,Random,3,36,24.5,698.856,5.0,12.485843
227,Random,3,37,21.5,636.82965,5.0,12.485843
228,Random,3,38,24.5,247.2959,5.0,12.485843
229,Random,3,39,16.5,311.6057,5.0,12.485843
230,Random,3,40,19.0,599.16223,5.0,12.485843
231,Random,3,41,20.0,469.89764,5.0,12.485843
