index,Sampling Criterion,Sample Size,τ,graph_id
78,WMSE,79,-0.5216138919826193,1
79,WMSE,80,-0.0825765875851232,1
80,WMSE,81,-0.4225929929977667,1
81,WMSE,82,-0.17918778744122932,1
82,WMSE,83,-0.07450559934983118,1
83,WMSE,84,-0.04734957686578269,1
84,WMSE,85,-0.0468233787065742,1
85,WMSE,86,-0.049166888421959244,1
86,WMSE,87,-0.05065444272628383,1
87,WMSE,88,-0.09884186527966676,1
88,WMSE,89,-0.1007360715834281,1
89,WMSE,90,-0.03422808508662598,1
90,WMSE,91,-0.14506622451236523,1
91,WMSE,92,-0.07115300108193594,1
92,WMSE,93,-0.3172244475591441,1
93,WMSE,94,-0.07259010953749083,1
94,WMSE,95,-0.09107149430985118,1
95,WMSE,96,-0.19446286423389977,1
96,WMSE,97,-0.18625200361687747,1
97,WMSE,98,-0.16784317308389946,1
98,WMSE,99,-0.07073315543572392,1
99,WMSE,100,-0.0368605598018533,1
0,W. Random,1,0.19049794665192843,1
1,W. Random,2,0.15516929512396227,1
2,W. Random,3,0.39355398736306946,1
3,W. Random,4,0.11859736088177968,1
4,W. Random,5,0.8312949898097473,1
5,W. Random,6,0.15557237191696452,1
6,W. Random,7,0.2434409588157301,1
7,W. Random,8,1.0216545787606879,1
8,W. Random,9,0.1988249472054147,1
9,W. Random,10,1.302477043997181,1
10,W. Random,11,7.8243574494556265,1
11,W. Random,12,0.46686011386879045,1
12,W. Random,13,1.228657527559767,1
13,W. Random,14,1.78838686393552,1
14,W. Random,15,1.7794605119455411,1
15,W. Random,16,0.4030382836620731,1
16,W. Random,17,1.0469649756025716,1
17,W. Random,18,2.1104299126887187,1
18,W. Random,19,0.2866888857720795,1
19,W. Random,20,0.8220309524695437,1
20,W. Random,21,3.0608707462033635,1
21,W. Random,22,0.9843982253777455,1
22,W. Random,23,4.415485284378439,1
23,W. Random,24,2.5196713804554407,1
24,W. Random,25,2.75818513826066,1
25,W. Random,26,0.7492889782201587,1
26,W. Random,27,0.9247602953013938,1
27,W. Random,28,1.4616918622263597,1
28,W. Random,29,0.7826477788536124,1
29,W. Random,30,1.60232877051223,1
30,W. Random,31,4.012680764925068,1
31,W. Random,32,1.4867245945167498,1
32,W. Random,33,6.03468394393704,1
33,W. Random,34,5.898520248192528,1
34,W. Random,35,10.93439504891711,1
35,W. Random,36,4.902073071012819,1
36,W. Random,37,16.465236036550355,1
37,W. Random,38,4.357100504299683,1
38,W. Random,39,12.152883887141048,1
39,W. Random,40,17.44522385311716,1
40,W. Random,41,8.581413017532325,1
41,W. Random,42,82.57868343179106,1
42,W. Random,43,28.12091919477707,1
43,W. Random,44,245.06078412795858,1
44,W. Random,45,21.967749328167248,1
45,W. Random,46,35.11320653828088,1
46,W. Random,47,267.03129344455033,1
47,W. Random,48,1884.6315088861597,1
48,W. Random,49,2755.2734414182746,1
49,W. Random,50,2477.907944332123,1
50,W. Random,51,-2010.4875779655704,1
51,W. Random,52,-1687.824798100927,1
52,W. Random,53,-3423.448259205988,1
53,W. Random,54,-165.0105587459111,1
54,W. Random,55,-18.975357308437744,1
55,W. Random,56,-362.9534687484792,1
56,W. Random,57,-38.92581577866303,1
57,W. Random,58,-11.310313624067613,1
58,W. Random,59,-24.272552271437668,1
59,W. Random,60,-36.44582864182387,1
60,W. Random,61,-11.88119758993671,1
61,W. Random,62,-15.615675459452358,1
62,W. Random,63,-10.581269334656303,1
63,W. Random,64,-23.87504059009418,1
64,W. Random,65,-6.997114282510165,1
65,W. Random,66,-0.9047947500431406,1
66,W. Random,67,-7.560925867250024,1
67,W. Random,68,-4.6178370240379305,1
68,W. Random,69,-1.6622008870522904,1
69,W. Random,70,-6.9194750290173594,1
70,W. Random,71,-5.288524534921907,1
71,W. Random,72,-12.0325195475888,1
72,W. Random,73,-3.268892841628758,1
73,W. Random,74,-1.1881516241680572,1
74,W. Random,75,-0.9204523662806252,1
75,W. Random,76,-2.8488973263815978,1
76,W. Random,77,-0.7000889025162905,1
77,W. Random,78,-1.4588687865318435,1
78,W. Random,79,-0.38133505260027506,1
79,W. Random,80,-1.1336939033298108,1
80,W. Random,81,-2.395095602706232,1
81,W. Random,82,-4.339811455664914,1
82,W. Random,83,-2.907258737977716,1
83,W. Random,84,-1.4267465478009198,1
84,W. Random,85,-0.7097736374308681,1
85,W. Random,86,-0.18398230842833813,1
86,W. Random,87,-0.1052298102812415,1
87,W. Random,88,-1.4656724306415412,1
88,W. Random,89,-0.5201732097162136,1
89,W. Random,90,-0.3082469931379649,1
