,Sampling Type,Sample Size,class_error,rec_error
275,Reconstruction-optimal,16,0,4.7303775e-12
276,Reconstruction-optimal,17,0,3.2081022e-12
277,Reconstruction-optimal,18,0,4.120391e-12
278,Reconstruction-optimal,19,0,2.7150682e-12
279,Reconstruction-optimal,20,0,5.3018445e-12
280,Reconstruction-optimal,21,0,5.974261e-12
281,Reconstruction-optimal,22,0,3.72219e-12
282,Reconstruction-optimal,23,0,5.4507796e-12
283,Reconstruction-optimal,24,0,4.132432e-12
284,Reconstruction-optimal,25,0,4.9263714e-12
285,Reconstruction-optimal,26,0,5.2050694e-12
286,Reconstruction-optimal,27,0,3.276991e-12
287,Reconstruction-optimal,28,0,3.7182423e-12
288,Reconstruction-optimal,29,0,3.875968e-12
289,Reconstruction-optimal,30,0,2.8066236e-12
290,Reconstruction-optimal,31,0,5.286955e-12
291,Reconstruction-optimal,32,0,3.654777e-12
292,Reconstruction-optimal,33,0,3.350876e-12
293,Reconstruction-optimal,34,0,3.3722144e-12
294,Reconstruction-optimal,35,0,4.1727533e-12
295,Reconstruction-optimal,36,0,4.0872817e-12
296,Reconstruction-optimal,37,0,3.800106e-12
297,Reconstruction-optimal,38,0,4.143197e-12
298,Reconstruction-optimal,39,0,3.67555e-12
299,Reconstruction-optimal,40,0,3.8125605e-12
300,Reconstruction-optimal,41,0,2.9958724e-12
301,Reconstruction-optimal,42,0,3.1002729e-12
302,Reconstruction-optimal,43,0,4.2133423e-12
303,Reconstruction-optimal,44,0,3.3408127e-12
304,Reconstruction-optimal,45,0,3.1153732e-12
305,Reconstruction-optimal,46,0,4.3400327e-12
306,Reconstruction-optimal,47,0,3.9810277e-12
307,Reconstruction-optimal,48,0,3.69884e-12
308,Reconstruction-optimal,49,0,4.1461617e-12
309,Reconstruction-optimal,50,0,3.5367978e-12
310,Reconstruction-optimal,51,0,3.7440233e-12
311,Reconstruction-optimal,52,0,3.6084443e-12
312,Reconstruction-optimal,53,0,3.4443169e-12
313,Reconstruction-optimal,54,0,3.1183827e-12
314,Reconstruction-optimal,55,0,3.623179e-12
315,Reconstruction-optimal,56,0,3.5028634e-12
316,Reconstruction-optimal,57,0,3.9658095e-12
317,Reconstruction-optimal,58,0,3.1810945e-12
318,Reconstruction-optimal,59,0,3.2826545e-12
319,Reconstruction-optimal,60,0,3.124744e-12
320,Reconstruction-optimal,61,0,3.0845365e-12
321,Reconstruction-optimal,62,0,2.5797613e-12
322,Reconstruction-optimal,63,0,4.80951e-12
323,Reconstruction-optimal,64,0,3.9239293e-12
324,Reconstruction-optimal,65,0,2.9191528e-12
325,Reconstruction-optimal,66,0,4.0097804e-12
326,Reconstruction-optimal,67,0,4.351204e-12
327,Reconstruction-optimal,68,0,3.435272e-12
328,Reconstruction-optimal,69,0,2.6370082e-12
329,Reconstruction-optimal,70,0,3.5397705e-12
330,Reconstruction-optimal,71,0,3.7354867e-12
331,Reconstruction-optimal,72,0,4.00937e-12
332,Reconstruction-optimal,73,0,3.1169674e-12
333,Reconstruction-optimal,74,0,2.8272374e-12
334,Reconstruction-optimal,75,0,3.3141042e-12
335,Reconstruction-optimal,76,0,3.963211e-12
336,Reconstruction-optimal,77,0,3.0295779e-12
337,Reconstruction-optimal,78,0,4.0653488e-12
338,Reconstruction-optimal,79,0,3.7949735e-12
339,Reconstruction-optimal,80,0,2.7827528e-12
340,Reconstruction-optimal,81,0,2.8641636e-12
341,Reconstruction-optimal,82,0,3.3675471e-12
342,Reconstruction-optimal,83,0,3.4418458e-12
343,Reconstruction-optimal,84,0,4.4840113e-12
344,Reconstruction-optimal,85,0,4.1488033e-12
345,Reconstruction-optimal,86,0,3.2799076e-12
346,Reconstruction-optimal,87,0,3.189568e-12
347,Reconstruction-optimal,88,0,2.9464306e-12
348,Reconstruction-optimal,89,0,3.870507e-12
349,Reconstruction-optimal,90,0,4.2547944e-12
350,Reconstruction-optimal,91,0,3.3486868e-12
351,Reconstruction-optimal,92,0,2.7122937e-12
352,Reconstruction-optimal,93,0,2.9170375e-12
353,Reconstruction-optimal,94,0,4.4742708e-12
354,Reconstruction-optimal,95,0,3.9322725e-12
355,Reconstruction-optimal,96,0,3.955043e-12
356,Reconstruction-optimal,97,0,5.029236e-12
