Graph,Sampling Criterion,μ,Sample Size,log MSE,log MSE bound
0,MMSE,1.0,40,0.8963613,4.893966874832818
0,MMSE,1.0,41,0.8682686,4.8896878394266166
0,MMSE,1.0,42,0.870129,4.882682086873144
0,MMSE,1.0,43,0.88901603,4.875187710379472
0,MMSE,1.0,44,0.90446776,4.838597760674821
0,MMSE,1.0,45,0.8763653,4.678368560610405
0,WMSE,0.0001,1,2.7712922,7.202169780905848
0,WMSE,0.0001,2,2.2312312,6.55794543015084
0,WMSE,0.0001,3,2.340279,6.1952433611998226
0,WMSE,0.0001,4,2.3366692,5.9461307094583535
0,WMSE,0.0001,5,2.3631392,5.763419113390239
0,WMSE,0.0001,6,2.3098116,5.6219383421490425
0,WMSE,0.0001,7,2.2760384,5.50839582405478
0,WMSE,0.0001,8,2.301749,5.414997611397704
0,WMSE,0.0001,9,2.3099601,5.336452794685959
0,WMSE,0.0001,10,2.306196,5.27004048266107
0,WMSE,0.0001,11,2.3022385,5.213659408886413
0,WMSE,0.0001,12,2.3317351,5.165366987503932
0,WMSE,0.0001,13,2.3439114,5.123843415403037
0,WMSE,0.0001,14,2.3671377,5.087896576570607
0,WMSE,0.0001,15,2.3743358,5.056764592497161
0,WMSE,0.0001,16,2.387813,5.029776652409048
0,WMSE,0.0001,17,2.336656,5.006373403691892
0,WMSE,0.0001,18,2.356254,4.986112142549176
0,WMSE,0.0001,19,2.355378,4.96858715233153
0,WMSE,0.0001,20,2.3300238,4.953491776790597
0,WMSE,0.0001,21,2.3639107,4.940553323976718
0,WMSE,0.0001,22,2.3873281,4.92953382096618
0,WMSE,0.0001,23,2.394989,4.92022570568151
0,WMSE,0.0001,24,2.4062793,4.912447593944658
0,WMSE,0.0001,25,2.430648,4.906040637420005
0,WMSE,0.0001,26,2.4640398,4.90086416779469
0,WMSE,0.0001,27,2.450511,4.896791201793032
0,WMSE,0.0001,28,2.4892428,4.893703035024036
0,WMSE,0.0001,29,2.491567,4.891475379388455
