Graph,Sampling Criterion,μ,Sample Size,log MSE,log MSE bound
0,WMSE,0.0001,41,-11.479131,4.2367483119844005
0,WMSE,0.0001,42,-11.589456,4.24739992278972
0,WMSE,0.0001,43,-12.31912,4.258109835109234
0,WMSE,0.0001,44,-13.212921,4.268863479289035
0,WMSE,0.0001,45,-20.925966,4.279647897215819
0,WMSE,0.01,1,-2.7064235,6.1186868243838255
0,WMSE,0.01,2,-2.7094119,5.485008306115363
0,WMSE,0.01,3,-2.7778857,5.129539083088365
0,WMSE,0.01,4,-3.0637078,4.889206583600273
0,WMSE,0.01,5,-3.4162853,4.714486374345618
0,WMSE,0.01,6,-3.34841,4.581654941482811
0,WMSE,0.01,7,-3.7553954,4.477910377896217
0,WMSE,0.01,8,-4.1055803,4.395453810916478
0,WMSE,0.01,9,-4.7019615,4.329196035358266
0,WMSE,0.01,10,-5.908678,4.275620069530404
0,WMSE,0.01,11,-6.3230333,4.232187900536923
0,WMSE,0.01,12,-6.693695,4.197005351802112
0,WMSE,0.01,13,-6.8333054,4.168620485309964
0,WMSE,0.01,14,-6.95967,4.145896266530034
0,WMSE,0.01,15,-7.2862434,4.127926552970355
0,WMSE,0.01,16,-7.506364,4.113978588162381
0,WMSE,0.01,17,-7.6958923,4.103452808670709
0,WMSE,0.01,18,-7.7477865,4.095853435560788
0,WMSE,0.01,19,-7.970046,4.090766911156284
0,WMSE,0.01,20,-8.02775,4.087845746435722
0,WMSE,0.01,21,-8.312878,4.086796016290055
0,WMSE,0.01,22,-8.380422,4.0873676980825655
0,WMSE,0.01,23,-8.493728,4.089346986449379
0,WMSE,0.01,24,-8.726643,4.09255024127975
0,WMSE,0.01,25,-8.811357,4.096819117732434
0,WMSE,0.01,26,-8.955673,4.102016595329956
0,WMSE,0.01,27,-9.048875,4.108023615774391
0,WMSE,0.01,28,-9.220697,4.11473659387946
0,WMSE,0.01,29,-9.40573,4.122064944917152
0,WMSE,0.01,30,-9.514268,4.129929513389915
0,WMSE,0.01,31,-9.599199,4.13826065555788
0,WMSE,0.01,32,-9.826852,4.146997331152573
0,WMSE,0.01,33,-9.970856,4.156085623018464
0,WMSE,0.01,34,-10.2698765,4.1654779925893255
0,WMSE,0.01,35,-10.49183,4.175132444668677
0,WMSE,0.01,36,-10.574152,4.185011765088338
0,WMSE,0.01,37,-10.603571,4.1950829802118355
0,WMSE,0.01,38,-10.745391,4.205316837606633
0,WMSE,0.01,39,-10.897843,4.215687330219224
0,WMSE,0.01,40,-11.340414,4.226171352483969
0,WMSE,0.01,41,-11.972387,4.2367483119844005
0,WMSE,0.01,42,-12.010701,4.24739992278972
0,WMSE,0.01,43,-12.111128,4.258109835109234
0,WMSE,0.01,44,-12.837279,4.268863479289035
0,WMSE,0.01,45,-15.678837,4.279647897215819
0,WMSE,1.0,1,-2.7064226,6.1186868243838255
0,WMSE,1.0,2,-2.7671628,5.485008306115363
0,WMSE,1.0,3,-3.1876614,5.129539083088365
0,WMSE,1.0,4,-3.8159773,4.889206583600273
0,WMSE,1.0,5,-4.3933525,4.714486374345618
0,WMSE,1.0,6,-4.516841,4.581654941482811
0,WMSE,1.0,7,-4.5688186,4.477910377896217
0,WMSE,1.0,8,-4.6055527,4.395453810916478
0,WMSE,1.0,9,-4.6082697,4.329196035358266
0,WMSE,1.0,10,-4.6180854,4.275620069530404
0,WMSE,1.0,11,-4.952039,4.232187900536923
0,WMSE,1.0,12,-5.0771255,4.197005351802112
0,WMSE,1.0,13,-5.221685,4.168620485309964
0,WMSE,1.0,14,-5.255938,4.145896266530034
