index,# Vertices,μ,τ_GLR_bl,graph_id
56,1000,0.39810717,-0.9310369098789287,0
57,1000,0.5011872,-0.9414131918040984,0
58,1000,0.63095737,-0.9498772693382238,0
59,1000,0.7943282,-0.9567460638894135,0
60,1000,1.0,-0.9622972279527059,0
61,1000,1.2589254,-0.966768508694998,0
62,1000,1.5848932,-0.9703600560724113,0
63,1000,1.9952623,-0.973239115387822,0
64,1000,2.5118864,-0.9755427587294515,0
65,1000,3.1622777,-0.9773837877735764,0
66,1000,3.9810717,-0.9788540931450286,0
67,1000,5.0118723,-0.98002735701369,0
68,1000,6.3095737,-0.9809639049400918,0
69,1000,7.943282,-0.9817117956006516,0
0,2000,1e-06,0.37220655713677436,0
1,2000,1.2589254e-06,0.3721065727513796,0
2,2000,1.5848932e-06,0.37198087448564554,0
3,2000,1.9952622e-06,0.3718225375167116,0
4,2000,2.5118864e-06,0.3716233270886142,0
5,2000,3.1622776e-06,0.37137265005576986,0
6,2000,3.9810716e-06,0.37105739954653916,0
7,2000,5.0118724e-06,0.3706606460698894,0
8,2000,6.3095736e-06,0.3701619052896344,0
9,2000,7.943282e-06,0.3695347842221407,0
10,2000,1e-05,0.36874678422059887,0
11,2000,1.2589254e-05,0.367756906629084,0
12,2000,1.5848931e-05,0.3665141616097553,0
13,2000,1.9952624e-05,0.3649550965808839,0
14,2000,2.5118865e-05,0.36300087708227596,0
15,2000,3.1622778e-05,0.360554194600022,0
16,2000,3.981072e-05,0.35749512495324176,0
17,2000,5.0118724e-05,0.3536771128069727,0
18,2000,6.309574e-05,0.34892221317223304,0
19,2000,7.943282e-05,0.3430164516963322,0
20,2000,1e-04,0.33570556990777406,0
21,2000,0.00012589255,0.3266924800274342,0
22,2000,0.00015848932,0.31563665627614584,0
23,2000,0.00019952623,0.30215801309214274,0
24,2000,0.00025118864,0.28584659735756096,0
25,2000,0.00031622776,0.26628111217583667,0
26,2000,0.00039810716,0.24305600401355687,0
27,2000,0.0005011872,0.2158196247099584,0
28,2000,0.00063095737,0.1843192257667035,0
29,2000,0.0007943282,0.14844750009729982,0
30,2000,0.001,0.10828119289892862,0
31,2000,0.0012589254,0.06409948596256441,0
32,2000,0.0015848932,0.01637133760358082,0
33,2000,0.0019952622,-0.034290577866458595,0
34,2000,0.0025118864,-0.08720467410814867,0
35,2000,0.0031622776,-0.1417052506220202,0
36,2000,0.0039810715,-0.19721468454911747,0
37,2000,0.0050118724,-0.25328178198481954,0
38,2000,0.0063095735,-0.3095759181919261,0
