index,# Vertices,μ,τ_GLR,graph_id
7,500,5.0118724e-06,0.15587551963417776,1
8,500,6.3095736e-06,0.15586898697227847,1
9,500,7.943282e-06,0.15586065584553174,1
10,500,1e-05,0.15585023532641754,1
11,500,1.2589254e-05,0.15583709066350365,1
12,500,1.5848931e-05,0.1558205871061981,1
13,500,1.9952624e-05,0.15579979897660273,1
14,500,2.5118865e-05,0.15577356256678251,1
15,500,3.1622778e-05,0.15574058193182413,1
16,500,3.981072e-05,0.1556991115148594,1
17,500,5.0118724e-05,0.1556468768070323,1
18,500,6.309574e-05,0.15558115369500466,1
19,500,7.943282e-05,0.1554985304367418,1
20,500,1e-04,0.15539451095198012,1
21,500,0.00012589255,0.15526372642612435,1
22,500,0.00015848932,0.15509930058580784,1
23,500,0.00019952623,0.15489255881430178,1
24,500,0.00025118864,0.15463279019360654,1
25,500,0.00031622776,0.15430653351737775,1
26,500,0.00039810716,0.15389707495555777,1
27,500,0.0005011872,0.15338352264570662,1
28,500,0.00063095737,0.15273996078257093,1
29,500,0.0007943282,0.15193455103124073,1
30,500,0.001,0.15092789375781981,1
31,500,0.0012589254,0.1496719716228786,1
32,500,0.0015848932,0.1481084327249867,1
33,500,0.0019952622,0.14616695416785663,1
34,500,0.0025118864,0.14376373931515715,1
35,500,0.0031622776,0.14079988468254728,1
36,500,0.0039810715,0.13716062176835012,1
37,500,0.0050118724,0.13271450797363624,1
38,500,0.0063095735,0.12731436350357186,1
39,500,0.007943282,0.1207985483158222,1
40,500,0.01,0.11299452622583131,1
41,500,0.012589254,0.10372400775018899,1
42,500,0.015848933,0.09281063677381342,1
43,500,0.019952623,0.08009075717547672,1
44,500,0.025118865,0.06542745458874102,1
45,500,0.031622775,0.04872818190957942,1
46,500,0.039810717,0.029964496616710804,1
47,500,0.050118722,0.009192486794281994,1
48,500,0.06309573,-0.013431165778723183,1
49,500,0.07943282,-0.0376416810706911,1
50,500,0.1,-0.06307267306765298,1
51,500,0.12589253,-0.0892795129761006,1
52,500,0.15848932,-0.11577866911561364,1
53,500,0.19952624,-0.1420983969873149,1
54,500,0.25118864,-0.16783102980221692,1
55,500,0.31622776,-0.19267560428850472,1
56,500,0.39810717,-0.2164603022187631,1
57,500,0.5011872,-0.23913900992252346,1
58,500,0.63095737,-0.26076241518282345,1
59,500,0.7943282,-0.2814317843001034,1
60,500,1.0,-0.30124784852369807,1
61,500,1.2589254,-0.32026794383954804,1
62,500,1.5848932,-0.338481855786869,1
63,500,1.9952623,-0.3558101981045624,1
64,500,2.5118864,-0.37212303967679033,1
65,500,3.1622777,-0.3872706114966767,1
66,500,3.9810717,-0.4011164464800773,1
67,500,5.0118723,-0.41356380688089844,1
68,500,6.3095737,-0.42457058036326917,1
69,500,7.943282,-0.43415200134718784,1
0,1000,1e-06,0.17987337098651957,1
1,1000,1.2589254e-06,0.17987195478089993,1
2,1000,1.5848932e-06,0.17987014203774696,1
3,1000,1.9952622e-06,0.17986793275710117,1
4,1000,2.5118864e-06,0.17986504369788892,1
5,1000,3.1622776e-06,0.17986147486020393,1
6,1000,3.9810716e-06,0.17985702797542646,1
7,1000,5.0118724e-06,0.1798513348303376,1
8,1000,6.3095736e-06,0.17984419715656047,1
9,1000,7.943282e-06,0.17983524674126927,1
10,1000,1e-05,0.1798239737515225,1
11,1000,1.2589254e-05,0.17980975505847366,1
12,1000,1.5848931e-05,0.17979185423787397,1
13,1000,1.9952624e-05,0.17976936492237558,1
14,1000,2.5118865e-05,0.17974092756114915,1
15,1000,3.1622778e-05,0.17970526758018454,1
16,1000,3.981072e-05,0.1796603739841982,1
17,1000,5.0118724e-05,0.179603895898961,1
18,1000,6.309574e-05,0.17953274603877553,1
19,1000,7.943282e-05,0.17944329898526093,1
20,1000,1e-04,0.1793308530423987,1
21,1000,0.00012589255,0.17918929037162126,1
22,1000,0.00015848932,0.1790113602705125,1
23,1000,0.00019952623,0.17878780117601667,1
24,1000,0.00025118864,0.17850680260416402,1
25,1000,0.00031622776,0.17815397696181542,1
26,1000,0.00039810716,0.17771125512836589,1
27,1000,0.0005011872,0.17715600874962228,1
28,1000,0.00063095737,0.1764604842939823,1
29,1000,0.0007943282,0.17559010442527723,1
30,1000,0.001,0.17450261955382035,1
31,1000,0.0012589254,0.17314618369883433,1
32,1000,0.0015848932,0.1714577712577656,1
33,1000,0.0019952622,0.16936142515885502,1
34,1000,0.0025118864,0.16676628038552352,1
35,1000,0.0031622776,0.1635646749541853,1
36,1000,0.0039810715,0.15963102866955675,1
37,1000,0.0050118724,0.15482027172058144,1
38,1000,0.0063095735,0.14896848412342764,1
39,1000,0.007943282,0.14189398538619305,1
40,1000,0.01,0.13340152551171844,1
41,1000,0.012589254,0.12328850587027394,1
42,1000,0.015848933,0.11135587460909874,1
43,1000,0.019952623,0.0974223673827789,1
44,1000,0.025118865,0.08134302938382519,1
45,1000,0.031622775,0.06303103402259438,1
46,1000,0.039810717,0.04247970323751683,1
47,1000,0.050118722,0.019782707239790604,1
48,1000,0.06309573,-0.004853121342922392,1
49,1000,0.07943282,-0.031106148409184898,1
50,1000,0.1,-0.05855423834055717,1
51,1000,0.12589253,-0.08670556994754922,1
52,1000,0.15848932,-0.11504500127478899,1
53,1000,0.19952624,-0.1430890660545237,1
54,1000,0.25118864,-0.1704397612713105,1
55,1000,0.31622776,-0.1968254599480223,1
56,1000,0.39810717,-0.2221190375047841,1
57,1000,0.5011872,-0.24632796192640846,1
