index,# Vertices,μ,τ_GLR,graph_id
57,500,0.5011872,-0.09492382995746251,0
58,500,0.63095737,-0.09515357051192574,0
59,500,0.7943282,-0.09533576568465262,0
60,500,1.0,-0.09548034422574518,0
61,500,1.2589254,-0.09559512569155872,0
62,500,1.5848932,-0.09568632646339417,0
63,500,1.9952623,-0.09575887392180378,0
64,500,2.5118864,-0.09581663016685214,0
65,500,3.1622777,-0.09586272649847542,0
66,500,3.9810717,-0.09589959221941638,0
67,500,5.0118723,-0.09592925495330298,0
68,500,6.3095737,-0.09595324334041824,0
69,500,7.943282,-0.09597287774091733,0
0,1000,1e-06,0.576856259707716,0
1,1000,1.2589254e-06,0.5766019476194234,0
2,1000,1.5848932e-06,0.5762819915580207,0
3,1000,1.9952622e-06,0.5758795808179747,0
4,1000,2.5118864e-06,0.5753737156374921,0
5,1000,3.1622776e-06,0.5747378665650431,0
6,1000,3.9810716e-06,0.5739391684693822,0
7,1000,5.0118724e-06,0.5729360841164439,0
8,1000,6.3095736e-06,0.5716775533370738,0
9,1000,7.943282e-06,0.5700995751917418,0
10,1000,1e-05,0.5681232625851473,0
11,1000,1.2589254e-05,0.5656512310758334,0
12,1000,1.5848931e-05,0.5625643836545995,0
13,1000,1.9952624e-05,0.5587175925880608,0
14,1000,2.5118865e-05,0.5539362117493574,0
15,1000,3.1622778e-05,0.5480119078017043,0
16,1000,3.981072e-05,0.5407005098458564,0
17,1000,5.0118724e-05,0.5317212410988367,0
18,1000,6.309574e-05,0.5207594088323191,0
19,1000,7.943282e-05,0.5074750573681921,0
20,1000,1e-04,0.49151819950872244,0
21,1000,0.00012589255,0.4725549789302734,0
22,1000,0.00015848932,0.4503031153930724,0
23,1000,0.00019952623,0.4245790845319619,0
24,1000,0.00025118864,0.39535086611984255,0
25,1000,0.00031622776,0.3627884767036795,0
26,1000,0.00039810716,0.3273010762064237,0
27,1000,0.0005011872,0.28954591372383887,0
28,1000,0.00063095737,0.2503984956591475,0
29,1000,0.0007943282,0.21088235681449005,0
30,1000,0.001,0.17206698086452782,0
31,1000,0.0012589254,0.1349553168641326,0
32,1000,0.0015848932,0.10038456671674915,0
33,1000,0.0019952622,0.06896005982872816,0
34,1000,0.0025118864,0.041031568256654015,0
35,1000,0.0031622776,0.016708261486689833,0
36,1000,0.0039810715,-0.004099584676462724,0
37,1000,0.0050118724,-0.02162609556022559,0
38,1000,0.0063095735,-0.0361950359290713,0
39,1000,0.007943282,-0.04817257910571164,0
40,1000,0.01,-0.057931155099795135,0
41,1000,0.012589254,-0.06582467938036769,0
42,1000,0.015848933,-0.07217389481728843,0
43,1000,0.019952623,-0.07725932825443624,0
44,1000,0.025118865,-0.08131997028416471,0
45,1000,0.031622775,-0.08455527403701939,0
46,1000,0.039810717,-0.08712919165156167,0
47,1000,0.050118722,-0.08917496915503875,0
48,1000,0.06309573,-0.09080001467602318,0
49,1000,0.07943282,-0.09209043808381537,0
50,1000,0.1,-0.09311496852688562,0
51,1000,0.12589253,-0.09392832226264382,0
52,1000,0.15848932,-0.09457403187208846,0
53,1000,0.19952624,-0.09508661371519592,0
54,1000,0.25118864,-0.0954935425705917,0
55,1000,0.31622776,-0.09581656790427961,0
56,1000,0.39810717,-0.09607295722338645,0
57,1000,0.5011872,-0.09627641124009775,0
58,1000,0.63095737,-0.09643782153890502,0
59,1000,0.7943282,-0.09656577711511338,0
60,1000,1.0,-0.09666711022612798,0
61,1000,1.2589254,-0.09674720154344481,0
62,1000,1.5848932,-0.0968103495685039,0
63,1000,1.9952623,-0.09685991267430286,0
64,1000,2.5118864,-0.09689855689213064,0
65,1000,3.1622777,-0.09692833499096665,0
66,1000,3.9810717,-0.09695077865592082,0
67,1000,5.0118723,-0.09696711154173429,0
68,1000,6.3095737,-0.09697822663902178,0
69,1000,7.943282,-0.09698463897145224,0
0,2000,1e-06,0.6604421473236285,0
1,2000,1.2589254e-06,0.6598715620239435,0
2,2000,1.5848932e-06,0.6591545857098143,0
3,2000,1.9952622e-06,0.6582538115465991,0
4,2000,2.5118864e-06,0.6571228570855826,0
5,2000,3.1622776e-06,0.6557038096218206,0
6,2000,3.9810716e-06,0.65392483644059,0
7,2000,5.0118724e-06,0.651697175142093,0
