index,# Vertices,μ,τ_GLR_bl,graph_id
13,1000,1.9952624e-05,0.21070200873195913,0
14,1000,2.5118865e-05,0.21069179680654773,0
15,1000,3.1622778e-05,0.21067898550836694,0
16,1000,3.981072e-05,0.21066283217355922,0
17,1000,5.0118724e-05,0.21064254773579894,0
18,1000,6.309574e-05,0.2106169253907064,0
19,1000,7.943282e-05,0.21058466553772842,0
20,1000,1e-04,0.21054423654675977,0
21,1000,0.00012589255,0.21049317852770008,0
22,1000,0.00015848932,0.21042893891220857,0
23,1000,0.00019952623,0.21034808343628333,0
24,1000,0.00025118864,0.21024634270757997,0
25,1000,0.00031622776,0.21011833392695548,0
26,1000,0.00039810716,0.20995718991103954,0
27,1000,0.0005011872,0.20975442040354061,0
28,1000,0.00063095737,0.20949930955188423,0
29,1000,0.0007943282,0.20917840672482824,0
30,1000,0.001,0.20877478603717173,0
31,1000,0.0012589254,0.20826730714881886,0
32,1000,0.0015848932,0.2076294137526483,0
33,1000,0.0019952622,0.2068279350611915,0
34,1000,0.0025118864,0.20582133469692682,0
35,1000,0.0031622776,0.20455801271347415,0
36,1000,0.0039810715,0.20297382822010848,0
37,1000,0.0050118724,0.2009889398387364,0
38,1000,0.0063095735,0.1985054544106995,0
39,1000,0.007943282,0.19540254797062645,0
40,1000,0.01,0.1915333796860407,0
41,1000,0.012589254,0.18672013021809206,0
42,1000,0.015848933,0.18075025577385387,0
43,1000,0.019952623,0.17337274198925245,0
44,1000,0.025118865,0.16429636497857006,0
45,1000,0.031622775,0.15319085553115272,0
46,1000,0.039810717,0.13969224098012756,0
47,1000,0.050118722,0.12341459217733129,0
48,1000,0.06309573,0.10396986244724915,0
49,1000,0.07943282,0.0809962599744879,0
50,1000,0.1,0.05419474655047654,0
51,1000,0.12589253,0.02337063701250127,0
52,1000,0.15848932,-0.011527879523117136,0
53,1000,0.19952624,-0.05038183630591571,0
54,1000,0.25118864,-0.09289479095773033,0
55,1000,0.31622776,-0.13861392001191236,0
56,1000,0.39810717,-0.18697552371061002,0
57,1000,0.5011872,-0.23736671580920074,0
58,1000,0.63095737,-0.2891843756535104,0
59,1000,0.7943282,-0.3418744182948509,0
60,1000,1.0,-0.3949404724606367,0
61,1000,1.2589254,-0.4479222530481432,0
62,1000,1.5848932,-0.5003568608388382,0
63,1000,1.9952623,-0.5517415818473586,0
64,1000,2.5118864,-0.6015180329258841,0
65,1000,3.1622777,-0.6490866285723851,0
66,1000,3.9810717,-0.6938512697442096,0
67,1000,5.0118723,-0.7352795782626576,0
68,1000,6.3095737,-0.7729618755241036,0
69,1000,7.943282,-0.8066511951047728,0
0,2000,1e-06,0.36868324294081906,0
1,2000,1.2589254e-06,0.36868251015238734,0
2,2000,1.5848932e-06,0.3686819343903626,0
3,2000,1.9952622e-06,0.36868093989224177,0
4,2000,2.5118864e-06,0.36867973602646215,0
5,2000,3.1622776e-06,0.36867832279337004,0
6,2000,3.9810716e-06,0.3686765955093968,0
7,2000,5.0118724e-06,0.36867418778097577,0
8,2000,6.3095736e-06,0.3686713089777055,0
9,2000,7.943282e-06,0.36866764504939764,0
10,2000,1e-05,0.36866303897330066,0
11,2000,1.2589254e-05,0.3686572813865687,0
12,2000,1.5848931e-05,0.36865000590346675,0
13,2000,1.9952624e-05,0.368640846143031,0
14,2000,2.5118865e-05,0.3686293833904531,0
15,2000,3.1622778e-05,0.36861483254909677,0
16,2000,3.981072e-05,0.36859651322623904,0
17,2000,5.0118724e-05,0.368573483350288,0
18,2000,6.309574e-05,0.3685445915330019,0
19,2000,7.943282e-05,0.3685081630434664,0
20,2000,1e-04,0.3684622092221223,0
21,2000,0.00012589255,0.3684044799027571,0
22,2000,0.00015848932,0.36833173073728276,0
23,2000,0.00019952623,0.36824024678935463,0
24,2000,0.00025118864,0.3681251100526119,0
25,2000,0.00031622776,0.36798025224176395,0
26,2000,0.00039810716,0.36779777508077294,0
27,2000,0.0005011872,0.36756826548384214,0
28,2000,0.00063095737,0.36727959351210054,0
29,2000,0.0007943282,0.3669163917876173,0
30,2000,0.001,0.3664595888670181,0
31,2000,0.0012589254,0.36588521238086136,0
32,2000,0.0015848932,0.36516351014494897,0
33,2000,0.0019952622,0.36425661178167873,0
34,2000,0.0025118864,0.36311787460791006,0
35,2000,0.0031622776,0.36168888839569663,0
36,2000,0.0039810715,0.3598970772570627,0
37,2000,0.0050118724,0.3576528097490559,0
38,2000,0.0063095735,0.354845455712127,0
39,2000,0.007943282,0.3513392984337828,0
40,2000,0.01,0.3469691671529694,0
41,2000,0.012589254,0.3415358127639815,0
42,2000,0.015848933,0.3348015094924216,0
43,2000,0.019952623,0.3264864375950021,0
44,2000,0.025118865,0.3162675826865812,0
45,2000,0.031622775,0.3037808413356918,0
46,2000,0.039810717,0.28862800561395213,0
47,2000,0.050118722,0.27039200411907444,0
48,2000,0.06309573,0.24866034153793773,0
49,2000,0.07943282,0.22305932218591357,0
